,Event Id , Investigation Type , Accident Number , Event Date , Location , Country , Latitude , Longitude , Airport Code , Airport Name , Injury Severity , Aircraft Damage , Aircraft Category , Registration Number , Make , Model , Amateur Built , Number of Engines , Engine Type , FAR Description , Schedule , Purpose of Flight , Air Carrier , Total Fatal Injuries , Total Serious Injuries , Total Minor Injuries , Total Uninjured , Weather Condition , Broad Phase of Flight , Report Status , Publication Date , ,year,month,day,eventairport_conv,eventcity,event_fullstate,event_country, Airport code 
7382,20160209X91845 , Accident , CEN16LA100 , 01/29/2016 ," Macon, MO ", United States ,39.72972,-92.45667,K89,Macon-Fower Municipal Airport, Non-Fatal , Substantial , Airplane , N66E , MAULE , M 7-235C , No , 1 , Reciprocating , Part 91: General Aviation ,  , Personal ,  ,  ,  ,  , 1 , VMC , LANDING , Probable Cause , 11/28/2016 , ,2016,1,29,airport,macon,Missouri,United States,
46550,20001207X05041 , Accident , LAX96LA100 , 12/27/1995 ," FOLSOM LAKE, CA ", United States ,,,,FOLSOM LAKE, Non-Fatal , Substantial ,  , N5LY , Lake , LA-4-200 , No , 1 , Reciprocating ,  ,  , Instructional ,  , 0 , 0 , 0 , 2 , VMC , TAKEOFF , Probable Cause , 10/04/1995 , ,1995,12,27,,folsom lake,California,United States,
44018,20001208X07608 , Accident , MIA97LA126 , 03/21/1997 ," HOLLYWOOD, FL ", United States ,,,HWO,NORTH PERRY, Non-Fatal , Substantial ,  , N55510 , Socata , TB-21C , No , 1 , Reciprocating ,  ,  , Personal ,  , 0 , 0 , 0 , 1 , IMC , CRUISE , Probable Cause , 09/30/1997 , ,1997,3,21,,hollywood,Florida,United States,
1658,20190630X20100 , Accident , GAA19CA380 , 06/29/2019 ," Norwich, NY ", United States ,42.56361,-75.52417,OIC,LT WARREN EATON, Non-Fatal , Substantial , Airplane , N413MC , Howard Steven C , SUPER , No , 1 , Reciprocating , Part 91: General Aviation ,  , Flight Test ,  ,  ,  ,  , 1 , VMC , LANDING , Probable Cause , 11/06/2019 , ,2019,6,29,,norwich,New York,United States,
35774,20001212X22262 , Accident , CHI01FA026 , 11/03/2000 ," Des Moines, IA ", United States ,,,DSM,Des Moines International, Fatal(1) , Destroyed ,  , N71134 , Luscombe , 8A , No , 1 , Reciprocating ,  ,  , Personal ,  , 1 , 0 , 0 , 0 , VMC , APPROACH , Probable Cause , 05/21/2002 , ,2000,11,3,,des moines,Iowa,United States,
46023,20001208X05630 , Accident , MIA96FA118 , 04/16/1996 ," LAKELAND, FL ", United States ,,,LAL,LAKELAND LINDER REGIONAL, Fatal(1) , Substantial ,  , N222CH , Hawker Siddeley , FB-60 , No , 1 , Reciprocating ,  ,  , Unknown ,  , 1 , 0 , 0 , 0 , VMC , LANDING , Probable Cause , 12/10/1996 , ,1996,4,16,,lakeland,Florida,United States,
15346,20110517X80339 , Incident , CEN11IA341 , 05/17/2011 ," Denver, CO ", United States ,39.85694,-104.67056,DEN,Denver, Incident , Minor , Airplane , N218YV , BEECH , 1900D , No , 2 , Turbo Prop , Part 121: Air Carrier , SCHD ,  , Great Lakes Aviation (DBA: Great lakes Aviation) ,  ,  ,  , 11 , VMC , LANDING , Probable Cause , 04/04/2012 , ,2011,5,17,,denver,Colorado,United States,
11359,20130718X81101 , Accident , ERA13LA323 , 07/17/2013 ," Collierville, TN ", United States ,35.05444,89.68222,01TN,Colonial Air Park, Non-Fatal , Destroyed , Airplane , N618V , JOHNSON GARRET W , MERLIN GT , Yes , 1 , Reciprocating , Part 91: General Aviation ,  , Personal ,  ,  ,  , 2 ,  , VMC , TAKEOFF , Probable Cause , 12/15/2014 , ,2013,7,17,,collierville,Tennessee,United States,
40123,20001211X11394 , Accident , CHI99LA039 , 11/26/1998 ," EVANSVILLE, IN ", United States ,,,EVV,EVANSVILLE REGIONAL, Non-Fatal , Substantial ,  , N739LK , Cessna , 172N , No , 1 , Reciprocating ,  ,  , Personal ,  , 0 , 0 , 0 , 1 , VMC , LANDING , Probable Cause , 03/31/2000 , ,1998,11,26,,evansville,Indiana,United States,
63625,20001213X27102 , Accident , LAX89LA029 , 10/31/1988 ," SAINT JOHNS, AZ ", United States ,,,SJN,ST JOHNS INDUSTRIAL AIRPK, Non-Fatal , Substantial ,  , N8580M , BEECH , 35-B33 , No , 1 , Reciprocating ,  ,  , Personal ,  , 0 , 0 , 0 , 3 , VMC , TAKEOFF , Probable Cause , 11/28/1989 , ,1988,10,31,,saint johns,Arizona,United States,
